,title,address,price,building_area,building_use,latitude,longitude,btype
438,近師大安心居住大套房,台北市大安區潮州街,17000,11.0,電梯大樓/獨立套房,25.029087,121.52459099999999,電梯大樓
439,小巨蛋11樓全新裝潢套房,台北市松山區南京東路四段,12000,9.0,電梯大樓/分租套房,25.052766300000002,121.55546899999999,電梯大樓
453,簽二年月租6800樓下捷運站走一分鐘,台北市中山區松江路,7800,5.0,電梯大樓/分租套房,25.059627,121.53279599999999,電梯大樓
456,師大獨立套房，近捷運夜市,台北市大安區師大路,12000,9.0,公寓/獨立套房,25.021628,121.527891,公寓
463,精緻獨立套房,台北市文山區木柵路一段,7000,6.0,公寓/獨立套房,24.987828,121.55356100000002,公寓
485,30坪辦公室出租,台北市中山區建國北路二段,30000,30.0,公寓/辦公,25.0594877,121.53741869999999,公寓
489,近內湖科學園區雅房招租,台北市內湖區民權東路六段,5800,5.0,公寓/雅房,25.0682751,121.5852257,公寓
491,信義區近鄰永春捷運站，生活機能超級方便,台北市信義區虎林街,12000,9.0,透天厝/獨立套房,25.043065,121.577032,透天厝
494,大馬路邊黃金店面，住辦商皆宜！,台北市松山區八德路四段,48000,32.0,公寓/店面,25.049226,121.566666,公寓
506,"近劍潭捷運站,使用空間大",台北市士林區承德路四段,45000,53.0,電梯大樓/辦公,25.086728,121.522573,電梯大樓
516,近AIT~店面出租,台北市內湖區金湖路,36000,21.0,電梯大樓/店面,25.07526660000001,121.60411359999999,電梯大樓
517,*寶清街(南京東路5段)樓中樓2房可炊,台北市松山區寶清街,18000,12.0,電梯大樓/獨立套房,25.050127300000003,121.56878470000001,電梯大樓
518,永安街＊精美裝修＊三房一廳溫馨空間,台北市文山區永安街,22000,26.0,公寓/整層住家,24.986479,121.569395,公寓
524,稀有空出附廚房雙人套房!北歐小豪宅捷,台北市文山區溪口街,11500,7.0,公寓/獨立套房,24.99466180000001,121.5383898,公寓
527,"挑高5.8米.三面透光視野,環境優!",台北市內湖區舊宗路,1867030,436.61,電梯大樓/店面,25.0731053,121.57354270000002,電梯大樓
528,新北投黃金優質店面,台北市北投區光明路,350000,82.0,公寓/店面,25.1352687,121.5031554,公寓
529,龍山寺捷運共構宅2房出租,台北市萬華區和平西路三段,28000,15.0,電梯大樓/整層住家,25.0354108,121.50167579999999,電梯大樓
531,圓山捷運站附近,台北市大同區庫倫街,10000,4.0,電梯大樓/獨立套房,25.0721112,121.51838059999999,電梯大樓
535,獨立門戶/樓中樓,台北市大安區信義路四段,16000,6.0,電梯大樓/獨立套房,25.0341568,121.55460120000001,電梯大樓
551,古亭捷運附近溫馨套房出租,台北市中正區重慶南路三段,8500,5.0,公寓/分租套房,25.029363600000003,121.51515959999999,公寓
555,市府捷運4米2~V1精品屋,台北市信義區基隆路一段,26500,14.0,電梯大樓/獨立套房,25.0440788,121.56656650000001,電梯大樓
569,北部精緻套房,台北市中山區中山北路一段,20000,12.11,電梯大樓/獨立套房,25.04921400000001,121.521068,電梯大樓
570,捷運石牌站附近，4房2衛,台北市北投區致遠一路一段,16000,27.0,透天厝/整層住家,25.109839,121.515225,透天厝
581,全新豪宅24小時保全坡平面車位,台北市中山區朱崙街,6000,10.0,,25.0492193,121.54214240000002,nan
585,榮星花園/台北大學靜巷套房,台北市中山區合江街,9800,6.0,公寓/獨立套房,25.0608044,121.5399551,公寓
586,"新裝潢,大陽台,近圓山捷運,市埸,公園",台北市大同區重慶北路三段,20000,18.0,公寓/整層住家,25.07123,121.51284,公寓
595,敦北財經大樓-喬誠張啓烽,台北市松山區敦化北路,352112,207.21,電梯大樓/辦公,25.057261399999998,121.5499034,電梯大樓
598,全新獨立套房龍山寺板南線捷運站華江橋,台北市萬華區和平西路三段,12500,10.23,電梯大樓/獨立套房,25.03525530000001,121.491344,電梯大樓
600,5樓近敦南商圈公設比率非常低,台北市松山區南京東路五段,58000,54.4,電梯大樓/辦公,25.05175400000001,121.5581665,電梯大樓
607,傢俱全前有庭院,台北市士林區中山北路七段,16000,10.0,公寓/整層住家,25.1192265,121.53328700000002,公寓
608,﻿﻿大直內湖基河華廈面公園雅房,台北市中山區敬業三路,5500,3.0,電梯大樓/雅房,25.0792596,121.5556416,電梯大樓
621,獨立大陽台雙人優質套房~距捷運5分鐘,台北市士林區福德路,11500,10.0,透天厝/獨立套房,25.0925217,121.52207179999999,透天厝
